app,controller,topology,steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
forwarding_fixed,POX_EEL,BinTree2,200,2,2,False,True,320,547,867,468,370,838,61,40182,40243,3,40,19,0,21,16
forwarding_fixed,POX_EEL,BinTree2,200,2,2,True,True,320,547,867,563,533,1096,98,46096,46194,0,49,16,0,33,14
forwarding_fixed,POX_EEL,BinTree2,200,3,3,False,True,320,547,867,440,370,810,89,40182,40271,6,44,25,0,19,20
forwarding_fixed,POX_EEL,BinTree2,200,3,3,True,True,320,547,867,534,533,1067,127,46096,46223,0,52,23,0,29,19
forwarding_fixed,POX_EEL,BinTree2,200,4,4,False,True,320,547,867,418,370,788,111,40182,40293,9,48,28,0,20,23
forwarding_fixed,POX_EEL,BinTree2,200,4,4,True,True,320,547,867,512,533,1045,149,46096,46245,0,56,26,0,30,22
forwarding_fixed,POX_EEL,BinTree2,200,5,5,False,True,320,547,867,400,370,770,129,40182,40311,9,50,33,0,17,28
forwarding_fixed,POX_EEL,BinTree2,200,5,5,True,True,320,547,867,494,533,1027,167,46096,46263,0,57,31,0,26,27
forwarding_fixed,POX_EEL,BinTree2,200,6,6,False,True,320,547,867,380,370,750,149,40182,40331,14,53,37,0,16,31
forwarding_fixed,POX_EEL,BinTree2,200,6,6,True,True,320,547,867,474,533,1007,187,46096,46283,0,58,34,0,24,30
forwarding_fixed,POX_EEL,BinTree2,200,7,7,False,True,320,547,867,354,370,724,175,40182,40357,15,61,43,0,18,37
forwarding_fixed,POX_EEL,BinTree2,200,7,7,True,True,320,547,867,448,533,981,213,46096,46309,0,62,39,0,23,35
forwarding_fixed,POX_EEL,BinTree2,200,8,8,False,True,320,547,867,343,370,713,186,40182,40368,16,62,45,0,17,39
forwarding_fixed,POX_EEL,BinTree2,200,8,8,True,True,320,547,867,436,533,969,225,46096,46321,0,64,41,0,23,36
forwarding_fixed,POX_EEL,BinTree2,200,9,9,False,True,320,547,867,328,370,698,201,40182,40383,17,66,46,1,19,40
forwarding_fixed,POX_EEL,BinTree2,200,9,9,True,True,320,547,867,421,533,954,240,46096,46336,0,68,42,0,26,37
forwarding_fixed,POX_EEL,BinTree2,200,10,10,False,True,320,547,867,311,370,681,218,40182,40400,18,67,48,0,19,42
forwarding_fixed,POX_EEL,BinTree2,200,10,10,True,True,320,547,867,404,533,937,257,46096,46353,0,69,44,0,25,38
forwarding_fixed,POX_EEL,BinTree2,200,inf,inf,False,True,320,547,867,0,0,0,899,40182,41081,135,123,57,14,52,50
forwarding_fixed,POX_EEL,BinTree2,200,inf,inf,True,True,320,547,867,0,0,0,1194,46096,47290,0,131,54,0,77,46
forwarding_fixed,POX_EEL,Mesh2,200,0,0,False,True,87,18,105,168,0,168,0,559,559,0,0,0,0,0,0
forwarding_fixed,POX_EEL,Mesh2,200,0,0,True,True,87,18,105,184,16,200,0,659,659,0,0,0,0,0,0
forwarding_fixed,POX_EEL,Mesh2,200,1,1,False,True,87,18,105,148,0,148,20,559,579,3,10,7,1,2,5
forwarding_fixed,POX_EEL,Mesh2,200,1,1,True,True,87,18,105,159,14,173,27,659,686,0,10,9,0,1,7
