App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
Forwarding,POX EEL,Star,200,6,6,True,True,0.189980,0.140828,0.022521,0.005627,0.000439,0.011438,0.007629,0.001398,-0.000020
Forwarding,POX EEL,Star,200,7,7,False,True,0.207256,0.152018,0.021234,0.007070,0.000360,0.011453,0.013998,0.001064,-0.000009
Forwarding,POX EEL,Star,200,7,7,True,True,0.195990,0.145794,0.022844,0.005188,0.000279,0.011758,0.008651,0.001418,-0.000012
Forwarding,POX EEL,Star,200,8,8,False,True,0.204302,0.150249,0.020103,0.006095,0.000259,0.011938,0.014125,0.001474,-0.000010
Forwarding,POX EEL,Star,200,8,8,True,True,0.192615,0.144435,0.022533,0.004834,0.000253,0.011647,0.007112,0.001751,-0.000012
Forwarding,POX EEL,Star,200,9,9,False,True,0.204019,0.149916,0.020338,0.005904,0.000259,0.011693,0.014494,0.001351,-0.000010
Forwarding,POX EEL,Star,200,9,9,True,True,0.196018,0.147079,0.022729,0.004665,0.000256,0.011020,0.008105,0.002088,-0.000013
Forwarding,POX EEL,Star,200,10,10,False,True,0.210123,0.154930,0.019626,0.006060,0.000324,0.012371,0.015380,0.001371,-0.000010
Forwarding,POX EEL,Star,200,10,10,True,True,0.198691,0.150589,0.022179,0.004649,0.000258,0.010949,0.007899,0.002077,-0.000025
Forwarding,POX EEL,Star,200,inf,inf,False,True,0.196611,0.140773,0.019224,0.005957,0.000260,0.011763,0.016263,0.002307,-0.000014
Forwarding,POX EEL,Star,200,inf,inf,True,True,0.210895,0.150646,0.025177,0.004790,0.000276,0.013189,0.012443,0.004249,-0.000076
Forwarding,POX EEL Fixed,Linear3,200,0,0,False,True,4.553675,3.331756,0.705739,0.252442,0.003440,0.021316,0.237793,0.001106,-0.000020
Forwarding,POX EEL Fixed,Linear3,200,0,0,True,True,3.917999,3.353802,0.473061,0.039053,0.003183,0.020323,0.027931,0.000564,-0.000017
Forwarding,POX EEL Fixed,Linear3,200,1,1,False,True,4.834258,3.360183,0.710705,0.236802,0.003334,0.020765,0.496219,0.006165,-0.000022
Forwarding,POX EEL Fixed,Linear3,200,1,1,True,True,3.914360,3.343005,0.466294,0.038964,0.003702,0.021359,0.036279,0.004668,-0.000029
Forwarding,POX EEL Fixed,Linear3,200,2,2,False,True,4.859524,3.347192,0.697719,0.238232,0.003327,0.019708,0.546179,0.007081,-0.000022
Forwarding,POX EEL Fixed,Linear3,200,2,2,True,True,3.985423,3.401006,0.476000,0.037197,0.003226,0.020710,0.040701,0.006487,-0.000033
Forwarding,POX EEL Fixed,Linear3,200,3,3,False,True,4.942987,3.381088,0.702413,0.236029,0.003245,0.019817,0.592172,0.008144,-0.000025
Forwarding,POX EEL Fixed,Linear3,200,3,3,True,True,4.101519,3.499304,0.491037,0.035979,0.003609,0.021363,0.043175,0.006934,-0.000046
Forwarding,POX EEL Fixed,Linear3,200,4,4,False,True,5.148769,3.494991,0.741507,0.237164,0.003234,0.020627,0.642731,0.008420,-0.000026
Forwarding,POX EEL Fixed,Linear3,200,4,4,True,True,3.971115,3.394060,0.463459,0.034814,0.004001,0.020398,0.046516,0.007771,-0.000035
Forwarding,POX EEL Fixed,Linear3,200,5,5,False,True,5.161362,3.474655,0.730980,0.251747,0.003345,0.022524,0.666829,0.011185,-0.000034
Forwarding,POX EEL Fixed,Linear3,200,5,5,True,True,3.925810,3.338070,0.469411,0.036228,0.003674,0.021469,0.048210,0.008650,-0.000037
Forwarding,POX EEL Fixed,Linear3,200,6,6,False,True,4.982948,3.439205,0.688268,0.217338,0.003144,0.019181,0.604664,0.011059,-0.000028
Forwarding,POX EEL Fixed,Linear3,200,6,6,True,True,4.011513,3.416191,0.465731,0.043096,0.003214,0.020806,0.052089,0.010282,-0.000040
Forwarding,POX EEL Fixed,Linear3,200,7,7,False,True,5.101299,3.562375,0.673711,0.224970,0.003180,0.019367,0.605481,0.012124,-0.000029
Forwarding,POX EEL Fixed,Linear3,200,7,7,True,True,4.045813,3.441214,0.473461,0.034161,0.003462,0.022300,0.058752,0.012360,-0.000043
Forwarding,POX EEL Fixed,Linear3,200,8,8,False,True,5.089976,3.374616,0.687613,0.221766,0.003223,0.020870,0.764106,0.017679,-0.000042
Forwarding,POX EEL Fixed,Linear3,200,8,8,True,True,4.006496,3.402152,0.470756,0.033172,0.003503,0.021864,0.061483,0.013470,-0.000046
Forwarding,POX EEL Fixed,Linear3,200,9,9,False,True,5.060066,3.389684,0.646646,0.220847,0.004260,0.021507,0.761219,0.015808,-0.000035
Forwarding,POX EEL Fixed,Linear3,200,9,9,True,True,4.002959,3.382454,0.483146,0.030762,0.003956,0.020491,0.066054,0.015985,-0.000055
Forwarding,POX EEL Fixed,Linear3,200,10,10,False,True,5.240451,3.485235,0.674963,0.227324,0.005066,0.021334,0.808295,0.018113,-0.000054
Forwarding,POX EEL Fixed,Linear3,200,10,10,True,True,4.065805,3.432676,0.487442,0.032176,0.003899,0.021673,0.071258,0.016569,-0.000049
Forwarding,POX EEL Fixed,Linear3,200,inf,inf,False,True,4.905411,3.350561,0.632032,0.204742,0.003198,0.021050,0.666741,0.026977,-0.000058
Forwarding,POX EEL Fixed,Linear3,200,inf,inf,True,True,4.013832,3.342536,0.455795,0.028032,0.003108,0.022661,0.120214,0.038545,-0.002877
Forwarding,POX EEL Fixed,BinTree,200,0,0,False,True,20.662470,16.067410,2.732871,1.415146,0.012542,0.089443,0.341554,0.003345,-0.000094
Forwarding,POX EEL Fixed,BinTree,200,0,0,True,True,17.741359,15.898766,1.640183,0.069864,0.012515,0.093194,0.024902,0.001749,-0.000096
Forwarding,POX EEL Fixed,BinTree,200,1,1,False,True,20.942140,16.315034,2.739479,1.405474,0.012343,0.092133,0.356610,0.020902,-0.000100
Forwarding,POX EEL Fixed,BinTree,200,1,1,True,True,17.893357,16.024188,1.663441,0.069876,0.012504,0.090559,0.026427,0.006153,-0.000156
Forwarding,POX EEL Fixed,BinTree,200,2,2,False,True,21.576199,16.642379,2.987401,1.428342,0.013572,0.095367,0.384314,0.024659,-0.000099
Forwarding,POX EEL Fixed,BinTree,200,2,2,True,True,17.921231,16.045348,1.661867,0.068140,0.012793,0.095332,0.027545,0.009996,-0.000148
Forwarding,POX EEL Fixed,BinTree,200,3,3,False,True,21.341629,16.459543,2.809885,1.426077,0.012761,0.091622,0.503533,0.038045,-0.000099
Forwarding,POX EEL Fixed,BinTree,200,3,3,True,True,17.928614,16.025241,1.680185,0.066869,0.013864,0.096638,0.030210,0.015419,-0.000128
Forwarding,POX EEL Fixed,BinTree,200,4,4,False,True,21.947297,17.063045,2.729133,1.395511,0.013070,0.092666,0.604191,0.049488,-0.000130
Forwarding,POX EEL Fixed,BinTree,200,4,4,True,True,18.078889,16.169865,1.680407,0.068468,0.012940,0.096817,0.031685,0.018496,-0.000156
Forwarding,POX EEL Fixed,BinTree,200,5,5,False,True,21.144071,16.252710,2.735125,1.401698,0.013766,0.090105,0.619009,0.031491,-0.000103
Forwarding,POX EEL Fixed,BinTree,200,5,5,True,True,17.939642,16.049760,1.663505,0.065631,0.013170,0.093755,0.033061,0.020556,-0.000140
Forwarding,POX EEL Fixed,BinTree,200,6,6,False,True,21.499919,16.452673,2.782176,1.443645,0.013388,0.094112,0.679646,0.034112,-0.000103
Forwarding,POX EEL Fixed,BinTree,200,6,6,True,True,18.149345,16.172024,1.733454,0.068548,0.013733,0.101121,0.034870,0.025375,-0.000164
Forwarding,POX EEL Fixed,BinTree,200,7,7,False,True,22.227434,16.928214,2.927661,1.427508,0.013767,0.101836,0.788150,0.040133,-0.000112
Forwarding,POX EEL Fixed,BinTree,200,7,7,True,True,18.937639,16.940896,1.760021,0.068561,0.013154,0.093891,0.034891,0.026011,-0.000159
Forwarding,POX EEL Fixed,BinTree,200,8,8,False,True,21.378284,16.370332,2.685072,1.364892,0.013392,0.091638,0.811131,0.041656,-0.000108
Forwarding,POX EEL Fixed,BinTree,200,8,8,True,True,18.473093,16.443379,1.770100,0.070129,0.013173,0.101900,0.043781,0.030407,-0.000163
Forwarding,POX EEL Fixed,BinTree,200,9,9,False,True,21.142373,16.113934,2.692324,1.356973,0.012790,0.093643,0.820351,0.052190,-0.000109
Forwarding,POX EEL Fixed,BinTree,200,9,9,True,True,18.272307,16.326579,1.698055,0.065439,0.012968,0.097238,0.039809,0.031998,-0.000155
Forwarding,POX EEL Fixed,BinTree,200,10,10,False,True,21.211396,16.063770,2.708542,1.411214,0.013130,0.093964,0.871641,0.048960,-0.000112
Forwarding,POX EEL Fixed,BinTree,200,10,10,True,True,18.031204,16.115109,1.668138,0.068499,0.012563,0.094148,0.039270,0.033276,-0.000146
Forwarding,POX EEL Fixed,BinTree,200,inf,inf,False,True,24.026619,16.836561,2.469338,1.195344,0.012672,0.094014,3.074182,0.313092,-0.031350
Forwarding,POX EEL Fixed,BinTree,200,inf,inf,True,True,18.390235,16.005410,1.624878,0.052587,0.012729,0.097743,0.146663,0.197738,-0.252420
Forwarding,POX EEL Fixed,Linear,200,0,0,False,True,0.653864,0.430357,0.091447,0.039728,0.000623,0.012155,0.079155,0.000337,-0.000008
Forwarding,POX EEL Fixed,Linear,200,0,0,True,True,0.561176,0.412988,0.068243,0.031808,0.000577,0.012630,0.034559,0.000307,-0.000007
Forwarding,POX EEL Fixed,Linear,200,1,1,False,True,0.654756,0.434185,0.080367,0.037603,0.000599,0.011852,0.089059,0.001036,-0.000008
Forwarding,POX EEL Fixed,Linear,200,1,1,True,True,0.577407,0.424846,0.067562,0.035813,0.000653,0.012405,0.035122,0.000941,-0.000014
