App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
Forwarding,POX EEL Fixed,BinTree2,200,inf,inf,True,True,266,510,776,0,0,0,1028,37459,38487,35,125,34,2,89,31,451,113
Forwarding,POX EEL Fixed,Mesh2,200,0,0,False,True,107,16,123,189,0,189,0,585,585,0,0,0,0,0,0,15,0
Forwarding,POX EEL Fixed,Mesh2,200,0,0,True,True,107,16,123,208,14,222,0,672,672,0,0,0,0,0,0,15,0
Forwarding,POX EEL Fixed,Mesh2,200,1,1,False,True,107,16,123,182,0,182,7,585,592,1,5,1,1,3,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,1,1,True,True,107,16,123,199,12,211,11,672,683,1,5,2,1,2,2,15,0
Forwarding,POX EEL Fixed,Mesh2,200,2,2,False,True,107,16,123,165,0,165,24,585,609,11,14,4,8,2,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,2,2,True,True,107,16,123,176,12,188,34,672,706,5,17,10,5,2,5,15,0
Forwarding,POX EEL Fixed,Mesh2,200,3,3,False,True,107,16,123,154,0,154,35,585,620,20,18,5,12,1,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,3,3,True,True,107,16,123,165,12,177,45,672,717,8,21,13,8,0,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,4,4,False,True,107,16,123,145,0,145,44,585,629,26,23,5,17,1,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,4,4,True,True,107,16,123,156,12,168,54,672,726,12,26,13,12,1,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,5,5,False,True,107,16,123,131,0,131,58,585,643,34,30,6,22,2,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,5,5,True,True,107,16,123,142,12,154,68,672,740,18,33,14,18,1,4,15,0
